x,y,z
-15,23,-1020
0,15,-1007
-17,29,-1022
0,17,-1001
-19,9,-1024
-15,31,-1009
-25,9,-1026
-25,19,-1016
-21,21,-1005
0,13,-1005
-29,37,-1009
-17,15,-1016
7,13,-1009
-23,29,-1013
-1,3,-1009
-21,35,-1018
-13,27,-1007
-13,21,-1009
-25,25,-1011
-13,17,-1015
-17,27,-1022
-27,35,-1007
-5,11,-1016
-13,23,-1003
-25,5,-1015
-5,11,-1020
-37,29,-1015
-3,15,-1005
-17,25,-1026
-19,13,-1015
-21,7,-1015
-11,35,-1011
-29,15,-1009
-5,23,-1007
-19,11,-1020
-23,0,-1018
3,31,-1018
-42,23,-1015
-11,27,-1005
-7,31,-1024
-27,3,-1011
-7,21,-1018
-21,29,-1013
-39,23,-1013
-5,19,-1016
-17,9,-1018
-15,15,-1015
-9,29,-1015
-7,11,-1011
-29,27,-1016
-3,11,-1018
-9,13,-1016
-9,21,-1018
-11,33,-1001
-15,19,-1016
-11,17,-1007
-21,3,-1013
-23,29,-1018
-5,23,-1015
-9,19,-1015
-9,21,-1005
0,15,-1015
-21,13,-1028
3,23,-1005
-13,11,-1016
-21,21,-1018
-5,11,-1011
-29,33,-1028
-7,15,-1013
-5,5,-1015
-25,35,-1020
-13,15,-1015
-11,9,-1016
-31,29,-1026
-15,19,-1011
-21,17,-1018
-15,15,-1018
-19,13,-1015
-29,35,-1020
-13,21,-1015
-21,25,-1022
-11,21,-1022
-25,5,-1022
-5,25,-1015
-19,15,-1016
-19,11,-1015
-5,31,-1005
-27,13,-1013
-15,25,-1007
-17,17,-1011
-17,21,-1013
-23,29,-1018
-21,9,-1013
-21,35,-1018
-21,31,-1013
-21,11,-1022
-13,21,-1020
-21,21,-1007
-15,13,-1013
-13,25,-1015
-23,5,-1018
-17,19,-1013
-11,25,-1013
-21,9,-1016
-27,23,-1016
-13,15,-1013
-33,3,-1026
-9,25,-991
-15,15,-1020
-17,31,-1016
-17,23,-1016
-13,0,-1015
-19,19,-1013
-9,13,-1009
-11,29,-1028
-11,23,-1007
-9,13,-1020
-7,15,-1015
-19,13,-1009
-1,17,-1015
-17,35,-1024
-13,23,-1024
-1,17,-1015
-19,15,-1024
-7,13,-1018
-3,21,-1020
-23,29,-1015
-11,11,-1028
-13,23,-1013
-13,0,-1005
5,25,-1005
-17,13,-1005
-21,17,-1020
0,19,-1020
-25,17,-1026
-13,21,-1022
-3,19,-999
-23,17,-1013
-13,17,-1020
-11,27,-1016
-17,21,-1016
-15,17,-1005
-9,17,-1015
-23,21,-1011
-15,19,-1011
1,21,-1009
-33,27,-1016
13,9,-1003
-11,15,-1009
-21,25,-1016
-5,17,-1009
-29,31,-1026
-9,17,-1007
-11,3,-1018
-23,21,-1016
-17,15,-1018
-3,19,-1026
-33,27,-1007
-3,9,-1003
-19,31,-1013
-25,15,-1007
1,9,-1013
-37,35,-1016
-19,5,-1015
-11,29,-1015
-9,23,-1018
-19,13,-1015
11,21,-1018
-15,11,-1016
-13,15,-1005
0,23,-1009
-17,7,-1018
-5,35,-1011
-25,21,-1016
-13,13,-1005
-11,35,-1005
-17,3,-1022
-15,39,-1005
-19,25,-1024
-23,13,-1009
-3,29,-1015
3,13,-1007
-23,25,-1020
