x,y,z
-9,23,-1024
-25,33,-1013
3,-5,-1022
-29,39,-1015
-9,0,-1015
-21,21,-1013
-7,19,-1015
-17,25,-1022
-13,39,-1015
-7,31,-1013
-1,-3,-1007
-13,19,-1013
-11,15,-1009
-35,52,-1005
1,31,-1011
-23,25,-1007
-15,15,-1009
-17,5,-1011
-15,27,-1013
0,23,-1013
-11,19,-1011
-19,23,-1018
-1,3,-1005
-23,13,-1020
-7,25,-1005
-15,13,-1015
-25,33,-1022
-21,23,-1007
-25,23,-1020
-27,54,-1016
-13,3,-1016
-23,25,-1016
-13,17,-1015
-17,15,-1022
-1,44,-1015
0,15,-1015
-33,5,-1020
11,13,-1015
-29,15,-1016
-21,39,-1001
-1,0,-1015
-31,40,-1016
5,-1,-1005
-31,21,-1013
-13,29,-1009
-1,5,-1024
-25,31,-1009
-17,39,-1003
-3,3,-1020
-11,29,-1018
-7,21,-1009
-11,-1,-1013
-27,29,-1013
-19,19,-1018
-21,33,-1016
7,23,-1022
-29,23,-1020
-5,13,-1009
0,5,-1018
-19,46,-1024
1,31,-1013
-15,21,-1015
-17,23,-1026
-5,-3,-1020
-21,39,-1009
-13,29,-1015
-9,9,-1018
-23,27,-1005
-11,1,-1009
-3,21,-1024
-21,25,-1022
-25,7,-1016
-1,39,-1015
-29,21,-1016
-13,15,-1015
-21,39,-1015
-19,9,-1016
-9,31,-1026
-11,11,-1020
-19,23,-1007
-9,19,-1028
-11,15,-1009
-25,25,-1020
0,21,-1011
-13,7,-1018
-27,31,-1009
-11,15,-1013
-31,39,-1013
-21,23,-1009
-3,-3,-1013
-31,29,-1013
-11,21,-1005
-9,13,-1020
-15,25,-1016
-5,17,-1020
-17,25,-1016
-11,17,-1022
-27,29,-1013
-3,25,-1001
-19,7,-1007
-7,19,-1013
-11,31,-1005
-11,11,-1013
-23,23,-1016
-9,1,-1013
-17,23,-1016
-5,15,-1018
-7,21,-1015
-23,15,-1005
1,-9,-1007
-54,17,-1020
7,31,-1001
-21,13,-1020
-21,21,-1016
0,0,-1015
-25,15,-1015
-33,29,-1011
7,15,-1011
-23,35,-1011
-19,9,-1016
-5,3,-1024
-25,42,-1009
-17,9,-1011
-11,35,-1007
1,11,-1016
-31,3,-1018
-13,23,-1003
-19,21,-1020
-37,13,-1016
3,29,-1007
-35,3,-1024
-25,42,-1009
-15,23,-1011
-27,31,-1020
-7,11,-1009
-19,7,-1013
-33,39,-1009
5,-3,-1016
-31,44,-1020
-5,29,-1003
-5,7,-1024
-25,31,-1028
0,27,-1005
-11,13,-1015
-31,33,-1022
-1,-1,-1011
-13,39,-1013
-23,33,-1011
5,1,-1013
-29,29,-1018
-3,0,-1018
3,23,-1015
-19,31,-1018
-11,-9,-1024
-3,39,-1020
-31,21,-1007
-23,0,-1013
-5,44,-1016
-19,11,-1020
-1,21,-1011
-11,17,-1018
-31,7,-1026
-11,46,-1011
-3,3,-1009
-23,35,-1018
5,25,-1005
-35,-9,-1018
-1,64,-1016
-19,15,-1016
-15,25,-1016
1,27,-1005
-29,0,-1028
-17,44,-1009
-1,13,-1018
-33,23,-1022
0,33,-1009
-31,7,-1018
-17,31,-1015
-5,27,-1013
-25,27,-1028
-21,21,-1015
-9,15,-1018
-15,31,-1022
-11,17,-1015
-9,15,-1032
-23,23,-1011
-7,-1,-1011
-17,29,-1024
-19,25,-1001
-11,3,-1020
-5,17,-1007
-29,-3,-1018
-11,13,-1011
-25,33,-1015
-13,25,-1015
-31,21,-1011
-11,3,-1015
-17,9,-1020
-19,39,-1024
3,3,-1009
-23,33,-1030
-21,11,-1003
-11,7,-1013
-13,37,-1007
-15,3,-1028
-15,42,-1009
-25,13,-1016
-13,19,-1018
-19,27,-1018
-11,9,-1015
-11,17,-1024
-21,37,-1015
-31,37,-1005
-15,27,-1011
-13,21,-1016
-21,27,-1016
-15,-7,-1030
-1,19,-1007
-35,39,-1018
5,-3,-1016
-27,33,-1018
-1,1,-1003
-17,27,-1013
-15,33,-1022
-15,5,-1015
-7,37,-1015
-33,11,-1018
1,9,-1022
-33,52,-1020
-5,5,-1009
-9,29,-1015
-21,19,-1018
-7,7,-1024
-5,37,-1016
-33,17,-1018
7,29,-1011
-19,15,-1013
-17,9,-1024
9,46,-1009
-31,17,-1020
-3,13,-1015
-23,25,-1016
-25,7,-1009
0,33,-1011
-23,35,-1020
-31,13,-1026
-9,11,-1009
-15,15,-1016
-35,27,-1007
7,13,-1005
-17,21,-1020
-19,19,-1022
-3,5,-1028
-13,29,-1007
-25,29,-1018
5,17,-1011
-23,40,-1011
-21,3,-1024
0,23,-1009
-35,29,-1011
-5,25,-1011
0,17,-1013
-31,23,-1005
21,13,-1015
-44,29,-1015
0,17,-1015
0,17,-1018
-25,27,-1007
1,11,-1005
-27,27,-1020
-3,15,-1003
-5,25,-1011
-33,25,-1024
19,1,-1011
-33,35,-1013
-31,15,-1015
-13,9,-1024
-29,33,-1016
-15,-5,-1011
-15,35,-1009
9,11,-1018
-21,29,-1013
-1,29,-1009
-21,0,-1022
-13,31,-1013
-31,17,-1011
-11,13,-1009
-3,29,-1020
-27,13,-1020
-21,31,-1013
-7,19,-1011
-31,9,-1020
15,25,-1013
-31,3,-1020
-3,37,-1016
-25,29,-1007
-29,9,-1022
-23,25,-1005
-5,0,-1015
-31,39,-1005
11,19,-1013
-23,19,-1028
-9,27,-1009
-15,5,-1005
-35,31,-1020
-1,21,-1009
-17,19,-1024
-37,35,-1007
-13,-9,-1018
-21,29,-1005
-35,11,-1018
3,7,-1018
-29,50,-1011
3,-3,-1005
-3,23,-1015
-29,35,-1011
-1,-1,-1016
-19,46,-1013
-13,11,-1011
-7,19,-1015
-11,31,-1013
-15,-7,-1020
-1,46,-1003
-21,3,-1024
0,13,-1013
-15,39,-1018
-19,7,-1015
-7,35,-1015
-19,19,-1015
-23,3,-1022
-5,29,-1015
-33,11,-1024
0,19,-1013
-9,29,-1022
-21,0,-1024
-21,40,-1011
-13,17,-1015
-23,33,-1016
-23,23,-1005
-7,11,-1013
-31,21,-1020
-19,21,-1013
-11,25,-1022
-29,31,-1007
-13,-11,-1018
-11,33,-1011
-29,29,-1009
-1,13,-1009
-15,40,-1018
-15,9,-1022
-15,5,-1015
-33,25,-1015
-15,19,-1005
-7,19,-1020
-23,29,-1016
-21,13,-1020
-1,35,-1005
-31,19,-1020
1,19,-1015
-11,21,-1011
-25,21,-1018
-17,31,-1016
-7,17,-1011
-19,31,-1013
-11,21,-1011
-1,13,-1009
-27,39,-1018
-13,11,-1011
-9,25,-1007
-11,19,-1024
-25,3,-1009
-1,31,-1009
-21,25,-1028
-3,13,-1013
-39,29,-1011
5,1,-1016
0,25,-1009
-31,46,-1015
-3,-1,-1011
-13,23,-1016
-21,13,-1015
-11,-3,-1015
-15,39,-1015
-17,13,-1022
-15,33,-1005
3,15,-1020
-33,7,-1024
-17,37,-1016
15,9,-1009
-44,48,-1015
27,11,-1005
-23,11,-1026
-13,46,-1005
-7,3,-1011
-13,44,-1011
-21,11,-1011
-13,-3,-1018
-21,54,-1005
-21,7,-1018
-11,29,-1015
-13,17,-1016
-21,3,-1013
1,33,-1015
-25,23,-1013
-13,25,-1018
-21,25,-1009
-9,5,-1018
-1,25,-1016
-17,29,-1015
-11,5,-1013
-15,35,-1020
-11,9,-1024
-35,39,-1009
9,5,-1009
-31,17,-1015
-21,33,-1018
0,1,-1009
-23,37,-1018
-5,29,-993
-17,5,-1016
-37,40,-1015
3,-1,-1009
-23,35,-1011
-13,25,-1013
-11,5,-1020
-11,39,-1013
-23,9,-1007
-3,13,-1022
-37,58,-1013
7,-7,-1015
-17,39,-1009
-7,5,-1020
-15,0,-1013
-9,50,-1011
-31,0,-1013
-11,35,-1013
-7,9,-1003
-19,-3,-1020
7,54,-1016
-25,1,-1016
-19,33,-1016
13,7,-1009
-31,3,-1026
-1,40,-1007
-11,7,-1020
-17,27,-1015
-21,27,-1011
-19,-11,-1016
-11,46,-1009
-23,13,-1018
-7,15,-1005
-9,35,-1020
-21,0,-1024
-9,25,-1016
-9,23,-1011
-11,7,-1018
-3,46,-1018
-9,3,-1015
-31,29,-1016
-11,23,-1007
-29,13,-1016
-3,29,-1009
-19,17,-1018
-19,29,-1020
-7,21,-1005
-23,11,-1015
-19,25,-1016
-3,9,-1003
-27,19,-1018
-7,21,-1009
-19,7,-1013
-17,29,-1007
-5,27,-1015
-19,11,-1032
-31,35,-1009
-3,5,-1020
-5,33,-1016
-23,19,-1011
0,-9,-1013
-21,52,-1018
-23,19,-1015
1,13,-1011
-17,25,-1026
-39,1,-1022
-3,37,-1011
-23,19,-1024
-13,23,-1013
3,35,-1005
-33,7,-1028
-11,31,-1007
-11,27,-1016
-13,35,-1018
-5,19,-1007
-7,11,-1020
-23,25,-1018
-23,27,-1015
-15,13,-1013
-23,33,-1018
-25,3,-1013
-9,17,-1013
-9,31,-1013
-19,3,-1013
-23,35,-1007
-5,13,-1018
-21,15,-1007
-17,39,-999
7,13,-1026
-31,25,-1015
-9,11,-997
-13,19,-1005
-37,35,-1009
19,17,-1013
-35,23,-1013
-9,27,-1011
0,-7,-1018
-33,42,-1018
11,13,-1015
-35,15,-1022
-5,37,-1024
0,-13,-1015
-29,39,-1016
1,9,-1016
-17,13,-1020
-9,33,-1022
-13,1,-1024
-23,27,-1022
-9,3,-1009
-1,17,-1013
-21,29,-1015
13,-1,-1007
-40,21,-1020
-23,33,-1015
-11,1,-1013
-23,42,-1020
-11,-3,-1009
-11,19,-1013
-17,25,-1016
-21,-1,-1022
-9,44,-1013
-21,5,-1013
0,29,-1003
-27,27,-1024
0,0,-1015
-35,40,-1018
-5,9,-1018
-3,13,-1020
-19,31,-1018
-3,11,-1003
-11,35,-1016
-35,15,-1013
-7,7,-1015
-17,44,-1011
-19,17,-1016
-5,35,-1011
-11,15,-1020
-21,9,-1016
-25,37,-1009
-1,17,-1018
-21,15,-1016
-15,39,-1020
-17,-3,-1022
-9,42,-1015
7,21,-1016
-29,3,-1026
9,44,-1003
-25,-1,-1032
-9,40,-1013
7,27,-1015
-19,19,-1026
-19,42,-1015
11,-9,-1013
-44,25,-1026
5,25,-1005
-21,21,-1024
-5,27,-1015
-5,9,-1018
-23,31,-1016
-11,31,-1018
-5,15,-1016
-21,25,-1011
-7,29,-1016
-5,5,-1016
-25,31,-1015
15,9,-1003
-25,17,-1016
-7,19,-1005
-15,1,-1013
-33,25,-1015
-21,19,-1013
-11,25,-1024
-25,9,-1013
-5,9,-1016
-25,31,-1007
-5,11,-1015
-11,31,-1016
-35,13,-1015
-3,3,-1001
-25,37,-1020
-13,27,-1003
-29,21,-1005
-7,17,-1009
-25,9,-1015
-9,29,-1016
-21,17,-1013
-15,19,-1013
-31,13,-1007
5,5,-1007
-11,33,-1018
-21,19,-1011
-9,13,-1013
-21,29,-1016
-11,3,-1020
-21,19,-1015
-1,35,-1005
-19,19,-1024
-11,33,-1007
-9,9,-1020
-21,13,-1015
-21,29,-1015
-5,11,-1011
-23,40,-1015
-3,11,-1016
-23,27,-1024
-21,21,-1009
-11,9,-1016
-13,44,-1013
-17,19,-1018
-17,7,-1018
-21,50,-1011
-11,1,-1015
-19,25,-1022
-15,33,-1018
-9,-5,-1011
-13,44,-1016
-5,21,-1013
-37,19,-1011
0,33,-1009
-19,5,-1016
-21,50,-1007
11,9,-1011
-27,25,-1022
1,39,-1015
-13,-13,-1018
-13,50,-1018
-17,17,-1007
-21,11,-1013
-1,39,-1007
-19,0,-1028
-1,23,-1015
5,19,-1015
-31,15,-1024
7,29,-1011
-29,5,-1013
-9,7,-1018
-5,40,-1016
-29,11,-1024
-7,33,-1011
-15,3,-1018
-13,21,-1007
-17,37,-1007
-5,13,-1009
-31,25,-1020
-15,-1,-999
-11,19,-1015
-25,27,-1022
-9,9,-1016
-15,33,-1005
-39,1,-1020
-5,15,-1016
-15,29,-1005
-23,17,-1024
-11,31,-1013
-7,21,-1007
-17,15,-1016
-33,25,-1024
1,13,-1009
-21,33,-1022
-15,19,-1015
-17,17,-1011
-23,29,-1016
-31,21,-1013
-9,25,-1013
-11,23,-1024
-9,-5,-1009
-21,31,-1013
-5,13,-1016
-11,17,-997
-13,40,-1003
-19,0,-1022
-25,17,-1015
-5,19,-1011
-9,15,-1009
-21,25,-1007
9,11,-1020
