x,y,z
-21,29,-1013
-21,21,-1007
-11,13,-1013
-21,25,-1026
-13,21,-1015
-21,31,-1015
-17,27,-1007
-11,13,-1011
-9,29,-1026
-11,21,-1015
-13,5,-1016
-11,35,-1015
0,13,-1022
-9,13,-1018
-11,31,-1013
-19,21,-1018
-15,23,-1016
-19,11,-1018
-13,7,-1011
-17,27,-1011
-13,17,-1016
-13,25,-1016
-15,31,-1015
-11,5,-1015
-11,19,-1022
-15,29,-1013
-3,23,-1020
-11,25,-1026
-11,13,-1013
-11,9,-1024
-5,25,-1005
-5,21,-1009
11,19,-1013
27,44,-1009
29,31,-1011
27,5,-1005
54,-7,-1013
-5,1,-1018
-9,1,-1015
-37,19,-1056
-54,-1,-1028
-35,27,-991
-50,66,-985
13,85,-1005
325,80,-948
478,275,-952
628,275,-927
667,-122,-1024
868,-290,-1108
1020,-48,-1102
929,167,-1091
1028,81,-905
954,-156,-1013
1179,-203,-993
946,206,-991
1036,271,-1020
985,-107,-1093
1157,-23,-1102
1110,269,-925
993,242,-856
1083,-54,-938
993,-404,-989
864,-50,-864
815,177,-968
892,62,-1016
839,-9,-1026
778,1,-931
782,95,-936
849,66,-1048
903,-17,-1153
901,304,-1036
884,224,-1018
1036,-48,-1151
1114,-191,-1136
1098,60,-1011
1022,144,-995
1122,-119,-1063
1227,-230,-1104
1202,193,-977
1108,302,-942
1198,81,-1040
1233,-150,-1138
1177,39,-1038
1098,261,-936
1196,81,-1056
1153,-78,-1116
1194,193,-940
1120,158,-890
1122,37,-1040
1356,-308,-1032
1044,33,-974
1165,173,-907
1054,142,-1011
1114,-113,-991
903,72,-892
993,-95,-841
1098,5,-946
1177,-15,-1079
1108,228,-952
1106,384,-952
1294,13,-1081
1382,-160,-1075
1206,-13,-972
1075,3,-983
1216,54,-1028
1292,27,-997
1227,333,-911
1210,388,-983
1245,-368,-1073
1413,-261,-1108
1134,64,-1079
1309,238,-977
1233,163,-1036
1415,-5,-1015
1262,247,-964
1208,197,-1003
1243,-284,-1122
1083,-560,-1128
1391,-40,-958
1020,579,-1075
1171,392,-931
1424,-150,-821
1239,-5,-1015
1130,3,-1056
1284,-25,-1075
1354,-7,-1073
1378,158,-1093
1305,454,-938
1141,-103,-833
1506,-448,-1011
1138,-23,-1194
1020,-130,-985
1223,-21,-979
1134,-3,-1167
1344,302,-935
1272,447,-728
1290,99,-1005
1549,-201,-1032
1034,64,-995
1372,226,-1067
1339,210,-1177
1452,-152,-954
1018,-13,-950
1175,27,-874
1054,-505,-1026
1296,-56,-1083
1151,386,-1147
1032,195,-907
1335,95,-1046
1479,146,-936
1264,488,-813
1286,-11,-979
1063,-173,-1257
1401,-593,-987
1155,228,-935
1038,755,-940
1225,-111,-894
1278,-325,-1009
1016,-284,-1139
1370,376,-1038
1389,499,-1034
1118,-331,-1061
1708,3,-884
948,163,-1083
1456,-7,-868
960,-42,-1175
880,-484,-1073
935,72,-894
710,128,-1034
614,199,-1013
517,19,-942
630,87,-929
409,95,-950
503,46,-1153
445,281,-1042
189,386,-919
298,-427,-1120
134,-72,-1147
-138,-17,-880
-167,-302,-919
113,261,-958
-193,-290,-1239
-353,271,-1091
-107,491,-899
-117,19,-1112
-54,177,-1180
-91,-11,-942
-236,-195,-1024
-78,458,-1163
-620,-56,-921
-365,-663,-1042
-944,286,-1128
-1903,39,-1122
-421,-423,-792
-1891,331,-1342
-1278,-99,-665
-1294,404,-917
-1465,474,-913
-1317,-431,-977
-1141,-9,-1147
-1522,210,-999
-1143,162,-1015
-1038,-11,-911
-956,-288,-843
-897,-156,-974
-1303,99,-1192
-936,-251,-1266
-718,35,-874
-853,119,-1069
-651,540,-954
-790,21,-989
-374,89,-841
-972,244,-1138
-456,-25,-1192
-1091,-99,-1085
-376,-458,-726
-983,160,-854
-931,158,-864
-972,-39,-905
-1130,44,-1005
-995,-203,-1089
-1247,269,-1159
-841,-19,-983
-1255,251,-1089
-1091,341,-968
-1259,-173,-931
-1169,39,-1054
-1260,-458,-1145
-1243,29,-907
-1141,81,-1182
-929,-195,-1124
-1034,15,-936
-1175,103,-1020
-1280,292,-1153
-829,-253,-976
-1098,25,-1054
-1024,238,-1126
-1329,253,-1104
-851,-191,-999
-1042,-281,-1202
-757,76,-1024
-1434,407,-1075
-972,-232,-1024
-1116,-171,-1097
-868,1,-1009
-1454,384,-938
-1161,-111,-921
-1333,-95,-1198
-1188,70,-960
-1481,433,-895
-1136,-52,-977
-1214,-136,-966
-1288,-93,-983
-1395,142,-1071
